Date,Open,High,Low,Close,Volume,Adj Close
2016-04-22,30.62,31.56,30.62,31.55,3028200,31.55
2016-04-21,31.60,32.00,30.80,31.07,4624400,31.07
2016-04-20,35.22,35.46,31.55,31.93,8000700,31.93
2016-04-19,35.50,35.78,34.70,35.05,4991800,35.05
2016-04-18,36.21,36.21,34.50,35.22,4967400,35.22
2016-04-15,36.98,37.03,36.26,36.58,4153000,36.58
2016-04-14,37.08,37.19,35.94,37.00,5710600,37.00
2016-04-13,35.95,37.27,35.92,36.66,6513000,36.66
2016-04-12,36.00,36.54,35.00,35.60,4845600,35.60
2016-04-11,35.70,36.81,35.70,36.08,5188300,36.08
2016-04-08,35.60,35.60,34.48,35.32,5597100,35.32
2016-04-07,37.26,38.20,36.02,36.02,6815100,36.02
2016-04-06,36.85,37.39,36.36,36.95,5670800,36.95
2016-04-05,35.30,37.60,34.60,37.18,7406000,37.18
2016-04-04,35.25,35.25,35.25,35.25,000,35.25
2016-04-01,36.25,36.25,34.25,35.25,7168200,35.25
2016-03-31,36.52,37.22,36.01,36.35,7409800,36.35
2016-03-30,34.95,36.59,34.50,36.48,6607200,36.48
2016-03-29,35.25,35.75,33.85,34.45,6031100,34.45
2016-03-28,35.58,37.45,35.20,35.50,7687100,35.50
2016-03-25,35.87,36.28,34.80,35.95,11163300,35.95
2016-03-24,38.38,39.36,36.81,37.20,11282900,37.20
2016-03-23,34.70,38.15,34.63,38.15,9708400,38.15
2016-03-22,33.80,35.24,33.72,34.68,6691700,34.68
2016-03-21,33.60,35.29,33.57,34.26,8326200,34.26
2016-03-18,32.41,33.88,31.50,33.50,9354900,33.50
2016-03-17,29.22,31.80,29.22,31.60,9253400,31.60
2016-03-16,29.34,29.93,28.34,29.00,6054500,29.00
2016-03-15,29.23,29.70,28.54,28.66,4224700,28.66
2016-03-14,27.99,30.00,27.90,29.55,6501200,29.55
2016-03-11,27.00,27.82,26.67,27.32,3699100,27.32
2016-03-10,28.55,29.06,27.59,27.63,4887100,27.63
2016-03-09,28.49,29.70,28.12,28.53,4482800,28.53
2016-03-08,28.00,29.20,26.02,29.19,6042500,29.19
2016-03-07,28.07,29.26,27.80,28.12,5143900,28.12
2016-03-04,29.11,29.66,26.90,27.25,5633500,27.25
2016-03-03,29.90,31.47,29.53,29.55,4961900,29.55
2016-03-02,28.09,30.34,27.70,29.91,5734500,29.91
2016-03-01,27.35,28.56,26.10,28.24,6875700,28.24
2016-02-29,29.75,29.75,26.83,27.17,5071600,27.17
2016-02-26,31.01,31.55,29.01,29.81,5526800,29.81
2016-02-25,34.39,34.40,31.12,31.12,6342700,31.12
2016-02-24,35.50,35.86,33.45,34.58,6565700,34.58
2016-02-23,36.37,36.47,35.16,35.85,4319100,35.85
2016-02-22,36.10,36.66,35.51,36.47,6415800,36.47
2016-02-19,35.19,36.16,35.16,35.58,5346700,35.58
2016-02-18,36.30,37.00,35.28,35.40,5432700,35.40
2016-02-17,36.41,36.80,35.67,36.20,5099400,36.20
2016-02-16,35.41,37.21,35.17,36.74,4552400,36.74
2016-02-15,34.01,35.38,33.51,35.10,2782400,35.10
2016-02-12,34.78,34.78,34.78,34.78,000,34.78
2016-02-11,34.78,34.78,34.78,34.78,000,34.78
2016-02-10,34.78,34.78,34.78,34.78,000,34.78
2016-02-09,34.78,34.78,34.78,34.78,000,34.78
2016-02-08,34.78,34.78,34.78,34.78,000,34.78
2016-02-05,35.23,35.85,34.50,34.78,3640700,34.78
2016-02-04,34.61,35.78,34.07,34.93,5131400,34.93
2016-02-03,32.69,34.98,32.33,34.54,5137900,34.54
2016-02-02,31.70,33.99,31.53,33.20,4514100,33.20
2016-02-01,31.12,31.62,30.33,31.38,3825100,31.38
2016-01-29,28.50,31.70,28.50,31.12,5085500,31.12
2016-01-28,31.30,31.65,28.56,28.90,4788200,28.90
2016-01-27,31.51,31.96,28.67,31.73,5571000,31.73
2016-01-26,34.66,34.71,31.76,31.76,4200600,31.76
2016-01-25,36.55,36.88,34.80,35.29,5223500,35.29
2016-01-22,35.98,36.30,33.98,36.00,5788100,36.00
2016-01-21,35.99,37.88,35.15,35.20,7466300,35.20
2016-01-20,35.10,37.78,35.03,37.32,8456400,37.32
2016-01-19,33.15,36.54,32.25,36.00,9081600,36.00
2016-01-18,30.21,33.92,30.02,33.22,6934900,33.22
2016-01-15,32.00,33.16,30.51,31.28,5579200,31.28
2016-01-14,28.55,32.82,28.48,32.54,5790400,32.54
2016-01-13,33.60,33.79,30.34,30.34,5489000,30.34
2016-01-12,32.20,33.85,31.40,33.04,7383300,33.04
2016-01-11,34.80,34.99,32.58,32.58,6658700,32.58
2016-01-08,38.43,38.60,33.86,36.20,7764300,36.20
2016-01-07,40.54,40.88,37.62,37.62,1239100,37.62
2016-01-06,40.81,42.25,39.68,41.80,5768000,41.80
2016-01-05,39.50,42.79,38.91,40.48,6864200,40.48
2016-01-04,47.77,47.77,43.22,43.22,5828600,43.22
2016-01-01,48.02,48.02,48.02,48.02,000,48.02
2015-12-31,49.22,50.58,47.50,48.02,5271500,48.02
2015-12-30,47.24,49.97,47.06,49.34,5855500,49.34
2015-12-29,47.50,48.19,45.90,46.85,5672300,46.85
2015-12-28,49.55,50.46,47.50,47.50,5568400,47.50
2015-12-25,50.76,50.98,48.91,49.55,4132000,49.55
2015-12-24,50.08,51.53,48.17,51.00,4539700,51.00
2015-12-23,54.50,54.74,49.50,50.04,8570900,50.04
2015-12-22,52.55,55.00,52.36,54.75,5481600,54.75
2015-12-21,53.99,53.99,51.70,52.98,5151100,52.98
2015-12-18,55.00,57.00,53.10,53.66,8308900,53.66
2015-12-17,49.65,54.53,49.65,54.53,9226900,54.53
2015-12-16,50.20,50.34,48.50,49.57,6084200,49.57
2015-12-15,47.30,50.44,47.25,49.62,8774100,49.62
2015-12-14,43.65,47.21,42.80,47.00,7283300,47.00
2015-12-11,44.40,46.70,44.21,44.55,7836500,44.55
2015-12-10,45.80,47.23,45.10,45.24,10556200,45.24
2015-12-09,42.58,46.30,42.40,45.19,10986100,45.19
2015-12-08,42.55,43.62,41.30,43.15,7522100,43.15
2015-12-07,42.00,43.35,41.90,42.62,7452300,42.62
2015-12-04,43.11,44.00,41.61,42.10,6401800,42.10
2015-12-03,42.03,43.88,42.01,43.52,6012600,43.52
2015-12-02,43.22,44.15,40.50,42.42,5167400,42.42
2015-12-01,42.51,44.15,42.05,43.85,6300000,43.85
2015-11-30,44.40,44.49,40.00,42.66,8601500,42.66
2015-11-27,47.07,47.60,42.93,44.00,6994800,44.00
2015-11-26,50.00,50.19,47.00,47.59,6622400,47.59
2015-11-25,47.33,50.58,47.33,49.43,7446200,49.43
2015-11-24,46.80,48.83,45.34,48.00,6898100,48.00
2015-11-23,50.15,50.39,46.60,46.80,7587600,46.80
2015-11-20,46.80,51.62,46.40,50.48,12299100,50.48
2015-11-19,45.40,47.29,43.70,46.93,8924600,46.93
2015-11-18,46.25,47.32,44.80,44.82,5900800,44.82
2015-11-17,48.70,49.88,44.88,46.50,9355600,46.50
2015-11-16,44.70,48.58,44.10,48.30,8165500,48.30
2015-11-13,50.00,50.00,45.75,46.05,9330700,46.05
2015-11-12,48.00,51.99,48.00,50.83,12426900,50.83
2015-11-11,47.00,48.70,45.66,48.16,10813400,48.16
2015-11-10,44.50,48.13,44.40,47.26,19116400,47.26
2015-11-09,40.12,43.75,39.00,43.75,18322500,43.75
2015-11-06,38.55,40.49,38.55,39.77,11331600,39.77
2015-11-05,39.39,39.78,37.37,38.90,14830500,38.90
2015-11-04,35.11,37.99,34.93,37.89,9524000,37.89
2015-11-03,35.80,36.13,34.40,34.66,7327500,34.66
2015-11-02,35.00,37.99,34.50,35.59,8529000,35.59
2015-10-30,36.90,38.30,35.70,37.02,10348100,37.02
2015-10-29,38.20,38.25,35.90,37.30,9963300,37.30
2015-10-28,37.88,39.96,37.00,37.50,15083800,37.50
2015-10-27,37.88,38.50,35.37,37.95,10435800,37.95
2015-10-26,39.00,39.29,37.02,38.39,12766900,38.39
2015-10-23,36.60,39.19,36.60,38.82,14881500,38.82
