Date,Open,High,Low,Close,Volume,Adj Close
2016-04-22,62.70,66.80,62.68,66.80,4189600,66.80
2016-04-21,66.80,67.00,62.60,63.36,4815900,63.36
2016-04-20,76.50,76.88,67.05,67.06,6487500,67.06
2016-04-19,76.50,77.11,73.82,74.50,4177700,74.50
2016-04-18,78.00,78.00,75.00,75.70,3552400,75.70
2016-04-15,80.13,81.50,78.48,79.68,3336300,79.68
2016-04-14,79.01,82.30,77.86,79.60,4681000,79.60
2016-04-13,76.88,82.18,76.88,78.20,5809600,78.20
2016-04-12,79.00,79.00,74.00,76.60,5560600,76.60
2016-04-11,72.70,78.87,72.70,78.87,7392300,78.87
2016-04-08,72.00,72.00,69.60,71.70,3711400,71.70
2016-04-07,76.80,76.80,73.10,73.48,5457900,73.48
2016-04-06,74.00,75.30,73.33,74.60,3972100,74.60
2016-04-05,70.28,75.81,69.52,74.19,4528200,74.19
2016-04-04,70.35,70.35,70.35,70.35,000,70.35
2016-04-01,72.00,72.29,68.68,70.35,3847400,70.35
2016-03-31,73.77,74.64,72.30,72.40,4307300,72.40
2016-03-30,68.82,73.70,68.50,73.55,5187700,73.55
2016-03-29,70.41,70.50,66.30,67.83,4494200,67.83
2016-03-28,74.80,75.67,70.16,70.43,4231700,70.43
2016-03-25,72.25,73.98,71.43,73.63,3660800,73.63
2016-03-24,74.30,75.80,73.00,73.00,4732800,73.00
2016-03-23,73.08,76.20,73.00,76.10,5273600,76.10
2016-03-22,74.65,75.00,73.20,73.80,5441100,73.80
2016-03-21,75.13,78.80,74.56,76.40,7665200,76.40
2016-03-18,68.59,73.26,66.61,73.26,8971400,73.26
2016-03-17,61.37,66.79,60.80,66.60,7471400,66.60
2016-03-16,62.90,63.99,59.55,60.72,5587800,60.72
2016-03-15,62.00,64.88,61.28,62.62,7163300,62.62
2016-03-14,57.50,61.28,57.38,61.28,5231000,61.28
2016-03-11,55.36,56.77,54.30,55.71,3486000,55.71
2016-03-10,58.99,60.00,56.65,56.86,2909400,56.86
2016-03-09,58.53,60.97,58.00,58.99,3361000,58.99
2016-03-08,59.10,61.30,54.22,60.50,4848200,60.50
2016-03-07,58.32,62.50,58.32,60.06,3966200,60.06
2016-03-04,63.36,63.90,58.22,58.22,5377100,58.22
2016-03-03,66.58,70.10,64.51,64.69,5461500,64.69
2016-03-02,63.80,68.00,61.00,66.75,5631800,66.75
2016-03-01,62.90,65.87,60.44,64.39,5263800,64.39
2016-02-29,70.00,70.10,64.36,64.36,2411400,64.36
2016-02-26,74.00,74.97,70.08,71.51,2536000,71.51
2016-02-25,78.54,79.70,71.90,73.70,3788000,73.70
2016-02-24,81.87,82.89,77.51,79.20,4215600,79.20
2016-02-23,88.78,89.00,80.30,82.97,3459200,82.97
2016-02-22,91.70,92.00,87.38,89.15,2870700,89.15
2016-02-19,88.80,94.80,86.02,90.40,1738600,90.40
2016-02-18,91.00,92.40,88.20,89.57,1129900,89.57
2016-02-17,91.63,93.50,88.70,90.57,1639900,90.57
2016-02-16,81.55,90.31,81.55,90.31,1563600,90.31
2016-02-15,79.95,82.82,77.33,82.10,1532100,82.10
2016-02-12,83.46,83.46,83.46,83.46,000,83.46
2016-02-11,83.46,83.46,83.46,83.46,000,83.46
2016-02-10,83.46,83.46,83.46,83.46,000,83.46
2016-02-09,83.46,83.46,83.46,83.46,000,83.46
2016-02-08,83.46,83.46,83.46,83.46,000,83.46
2016-02-05,84.50,85.74,83.01,83.46,910400,83.46
2016-02-04,81.60,87.31,81.60,83.80,1966100,83.80
2016-02-03,78.66,82.00,76.80,81.58,1846100,81.58
2016-02-02,73.00,81.01,73.00,79.91,2475700,79.91
2016-02-01,79.90,79.90,72.50,74.00,2380600,74.00
2016-01-29,76.46,82.71,71.22,80.12,3844100,80.12
2016-01-28,86.00,86.00,79.09,79.09,2005900,79.09
2016-01-27,84.10,88.49,79.50,87.88,2007300,87.88
2016-01-26,89.50,93.67,82.68,84.50,1423500,84.50
2016-01-25,92.30,94.20,89.50,90.50,863800,90.50
2016-01-22,89.41,91.63,86.01,89.87,1587400,89.87
2016-01-21,96.00,98.30,87.89,87.89,1382200,87.89
2016-01-20,98.23,103.29,95.62,97.66,1592400,97.66
2016-01-19,98.40,101.50,94.18,99.97,2006700,99.97
2016-01-18,95.20,105.50,95.18,100.01,2117200,100.01
2016-01-15,101.99,104.80,98.00,99.65,1920100,99.65
2016-01-14,86.20,99.09,86.00,99.09,1557600,99.09
2016-01-13,93.86,102.75,90.00,90.08,2085600,90.08
2016-01-12,85.00,94.84,81.51,94.84,2413000,94.84
2016-01-11,91.00,92.38,86.22,86.22,1500700,86.22
2016-01-08,104.00,104.78,92.00,95.80,1884400,95.80
2016-01-07,110.99,110.99,101.88,101.88,236700,101.88
2016-01-06,109.20,115.90,109.20,113.20,1216700,113.20
2016-01-05,100.18,115.25,100.18,108.98,2170100,108.98
2016-01-04,120.22,122.98,110.42,110.42,1331100,110.42
2016-01-01,122.69,122.69,122.69,122.69,000,122.69
2015-12-31,126.80,128.30,118.76,122.69,2504100,122.69
2015-12-30,123.80,128.55,121.51,128.00,2134600,128.00
2015-12-29,119.80,127.00,117.16,125.00,2830800,125.00
2015-12-28,115.13,125.00,114.89,117.01,3069600,117.01
2015-12-25,115.80,117.78,113.50,115.26,1103400,115.26
2015-12-24,112.82,117.47,112.00,115.17,2196400,115.17
2015-12-23,125.26,125.57,112.73,112.73,3265000,112.73
2015-12-22,122.50,128.88,120.38,125.26,2387200,125.26
2015-12-21,126.88,126.98,119.80,122.00,2549900,122.00
2015-12-18,132.50,135.69,123.00,128.00,2379300,128.00
2015-12-17,136.00,136.90,130.17,134.88,1968200,134.88
2015-12-16,137.00,141.20,134.09,134.91,1473000,134.91
2015-12-15,129.60,138.60,129.00,138.05,1976700,138.05
2015-12-14,124.90,133.50,121.21,131.00,2241300,131.00
2015-12-11,130.00,130.50,118.83,128.98,3314000,128.98
2015-12-10,124.43,133.28,123.13,129.05,2733800,129.05
2015-12-09,128.00,130.58,121.00,124.95,3217300,124.95
2015-12-08,117.00,130.59,116.00,130.59,5003700,130.59
2015-12-07,112.88,121.55,107.50,118.72,3086300,118.72
2015-12-04,111.80,116.00,110.00,112.38,2232400,112.38
2015-12-03,110.00,114.00,104.01,113.50,4017400,113.50
2015-12-02,102.31,111.20,95.96,110.00,6052800,110.00
2015-12-01,106.02,116.00,99.20,104.08,5424000,104.08
2015-11-30,107.00,109.50,99.30,107.25,5005700,107.25
2015-11-27,110.30,117.95,101.82,107.00,6585600,107.00
2015-11-26,107.11,110.55,103.93,108.00,6812300,108.00
2015-11-25,94.45,100.50,94.45,100.50,2500900,100.50
2015-11-24,82.51,91.36,82.33,91.36,4178500,91.36
2015-11-23,83.03,87.25,82.50,83.05,3281700,83.05
2015-11-20,81.30,85.60,81.25,83.51,4197800,83.51
2015-11-19,77.01,81.11,76.56,81.00,2822200,81.00
2015-11-18,76.00,80.39,75.80,76.46,3487700,76.46
2015-11-17,82.40,82.98,75.50,76.26,4296700,76.26
2015-11-16,77.00,81.88,77.00,81.66,3571200,81.66
2015-11-13,82.20,83.20,77.50,79.60,3134600,79.60
2015-11-12,88.00,88.50,83.20,85.00,3546400,85.00
2015-11-11,83.15,89.75,83.00,88.62,2885400,88.62
2015-11-10,84.55,85.58,81.00,83.60,2287700,83.60
2015-11-09,79.80,88.00,79.02,85.50,3642400,85.50
2015-11-06,74.09,81.11,74.06,80.79,4628300,80.79
2015-11-05,75.11,76.46,72.81,74.32,4209900,74.32
2015-11-04,69.20,75.13,69.03,74.79,3724400,74.79
2015-11-03,69.70,71.50,67.92,68.47,2611400,68.47
2015-11-02,69.46,73.89,69.00,70.03,3217100,70.03
2015-10-30,71.14,73.93,69.40,72.01,3258600,72.01
2015-10-29,70.00,72.60,69.01,70.44,2331500,70.44
2015-10-28,71.00,74.88,69.00,69.50,2976200,69.50
2015-10-27,72.30,73.37,68.00,72.00,3294000,72.00
2015-10-26,72.00,73.90,69.00,73.58,4114600,73.58
2015-10-23,69.50,73.92,68.60,71.00,4448400,71.00
2015-10-22,64.30,67.89,63.91,67.20,2726400,67.20
2015-10-21,71.50,71.79,64.23,64.23,4711500,64.23
2015-10-20,66.45,71.58,66.05,71.35,4290900,71.35
2015-10-19,66.80,68.00,64.62,65.91,3079900,65.91
2015-10-16,68.50,69.76,66.10,67.26,3428100,67.26
2015-10-15,62.02,69.00,61.50,68.50,4915000,68.50
2015-10-14,65.00,67.60,63.70,63.70,5131600,63.70
2015-10-13,64.16,65.88,63.08,64.40,3827800,64.40
2015-10-12,66.98,69.19,63.27,63.65,6470200,63.65
2015-10-09,64.16,65.93,64.12,64.89,2781100,64.89
2015-10-08,62.50,65.84,62.02,65.10,3264500,65.10
2015-10-07,59.85,59.85,59.85,59.85,000,59.85
2015-10-06,59.85,59.85,59.85,59.85,000,59.85
2015-10-05,59.85,59.85,59.85,59.85,000,59.85
2015-10-02,59.85,59.85,59.85,59.85,000,59.85
2015-10-01,59.85,59.85,59.85,59.85,000,59.85
2015-09-30,61.77,62.46,58.61,59.85,1873000,59.85
2015-09-29,58.70,62.77,58.30,61.58,2810900,61.58
2015-09-28,53.90,59.77,53.90,59.77,2693500,59.77
2015-09-25,59.34,60.37,54.10,54.34,3421400,54.34
2015-09-24,59.70,62.52,59.00,60.11,3047400,60.11
2015-09-23,57.99,61.90,56.65,59.77,3704700,59.77
2015-09-22,60.11,62.96,58.73,59.67,2636900,59.67
2015-09-21,56.15,63.53,56.00,60.49,4346900,60.49
2015-09-18,52.96,57.75,50.18,57.75,4385500,57.75
2015-09-17,51.10,54.21,50.12,52.50,3973000,52.50
2015-09-16,46.00,49.28,45.50,49.28,2315900,49.28
2015-09-15,47.05,49.50,44.60,44.80,1988900,44.80
2015-09-14,55.09,55.47,49.45,49.45,1890500,49.45
2015-09-11,50.51,54.94,50.51,54.94,2768600,54.94
2015-09-10,50.52,52.30,50.08,50.60,1636000,50.60
2015-09-09,49.10,52.78,49.05,52.32,3350700,52.32
2015-09-08,44.89,48.86,44.00,48.56,2326900,48.56
2015-09-07,43.00,46.18,42.50,45.39,3574400,45.39
2015-09-04,41.98,41.98,41.98,41.98,000,41.98
2015-09-03,41.98,41.98,41.98,41.98,000,41.98
2015-09-02,42.72,50.00,41.02,41.98,3198500,41.98
2015-09-01,48.59,49.29,45.54,45.54,1602600,45.54
2015-08-31,54.00,54.16,50.50,50.60,2485500,50.60
2015-08-28,51.00,55.70,50.05,55.18,3171900,55.18
2015-08-27,50.20,51.88,46.15,50.99,2437500,50.99
2015-08-26,47.30,51.56,46.00,47.80,3771800,47.80
2015-08-25,46.99,52.50,46.94,46.94,2436000,46.94
2015-08-24,54.50,56.50,52.16,52.16,1835200,52.16
2015-08-21,61.34,62.79,57.96,57.96,2037000,57.96
2015-08-20,65.01,67.56,63.52,64.40,3495300,64.40
2015-08-19,58.02,64.10,54.36,63.21,3464400,63.21
2015-08-18,67.23,69.73,60.32,60.32,2933500,60.32
2015-08-17,69.07,69.45,65.90,67.02,2363400,67.02
2015-08-14,72.66,73.55,69.71,70.10,2057400,70.10
2015-08-13,70.90,72.80,67.90,72.00,2206600,72.00
2015-08-12,70.00,73.57,67.54,72.25,2413100,72.25
2015-08-11,73.60,74.15,71.01,71.10,2531900,71.10
2015-08-10,71.48,75.79,69.00,74.66,3451700,74.66
2015-08-07,69.00,70.88,66.02,70.66,3352500,70.66
2015-08-06,57.78,65.88,57.00,65.88,3795800,65.88
2015-08-05,55.60,60.45,55.56,59.89,5029900,59.89
2015-08-04,50.94,54.95,49.81,54.95,2406500,54.95
2015-08-03,53.70,53.70,49.95,49.95,2520100,49.95
2015-07-31,59.00,60.61,54.88,55.50,2338400,55.50
2015-07-30,60.00,65.88,58.50,60.98,3092800,60.98
2015-07-29,58.00,61.65,52.19,60.05,2488300,60.05
2015-07-28,56.51,61.39,56.05,56.05,2597800,56.05
2015-07-27,67.00,71.00,62.28,62.28,2573900,62.28
2015-07-24,74.00,75.56,68.86,69.20,2814700,69.20
2015-07-23,69.80,74.49,68.82,73.72,2577200,73.72
2015-07-22,68.50,71.35,67.00,69.71,1850900,69.71
2015-07-21,68.11,71.13,67.60,69.10,1986500,69.10
2015-07-20,69.19,73.14,67.50,69.79,2943800,69.79
2015-07-17,64.50,69.79,63.05,69.39,2978400,69.39
2015-07-16,56.00,66.52,54.68,64.60,2497100,64.60
2015-07-15,65.90,68.00,60.62,60.62,4608900,60.62
2015-07-14,65.00,67.35,63.00,67.35,5157100,67.35
2015-07-13,61.23,61.23,60.23,61.23,1936300,61.23
2015-07-10,55.66,55.66,54.50,55.66,1018000,55.66
2015-07-09,45.50,50.60,45.02,50.60,3422500,50.60
2015-07-08,42.71,48.29,42.71,46.00,11118700,46.00
2015-07-07,47.46,47.58,47.46,47.46,649600,47.46
2015-07-06,64.45,64.45,52.73,52.73,3484700,52.73
2015-07-03,59.50,67.50,58.59,58.59,2511400,58.59
2015-07-02,70.00,74.00,65.10,65.10,1949300,65.10
2015-07-01,78.00,81.97,72.33,72.33,1809200,72.33
2015-06-30,72.80,82.00,68.49,80.37,2093700,80.37
2015-06-29,86.00,86.97,76.10,76.10,1727500,76.10
2015-06-26,90.00,90.40,84.56,84.56,1612500,84.56
2015-06-25,105.00,106.00,92.89,93.96,1593200,93.96
2015-06-24,105.00,108.50,101.12,102.94,1531800,102.94
2015-06-23,97.00,104.30,95.00,103.88,1417400,103.88
2015-06-22,97.00,97.00,97.00,97.00,000,97.00
2015-06-19,93.10,101.32,91.03,97.00,1921100,97.00
2015-06-18,99.50,101.95,96.06,96.18,1837900,96.18
2015-06-17,92.51,99.58,92.51,97.98,1851900,97.98
2015-06-16,96.00,96.97,90.67,92.02,1785200,92.02
2015-06-15,111.75,111.75,100.26,100.26,1989700,100.26
2015-06-12,113.50,115.01,111.00,111.40,1637200,111.40
2015-06-11,112.02,114.80,108.98,113.19,1729700,113.19
2015-06-10,105.00,114.20,103.28,112.99,2753400,112.99
2015-06-09,107.31,110.85,103.88,104.47,2278900,104.47
2015-06-08,117.00,117.00,107.24,107.31,2630900,107.31
2015-06-05,121.42,123.96,115.00,119.16,2356600,119.16
2015-06-04,125.00,125.00,113.00,121.01,2399300,121.01
2015-06-03,128.50,130.00,120.84,125.55,2352300,125.55
2015-06-02,134.41,135.50,126.21,128.13,2745200,128.13
2015-06-01,132.00,135.67,127.00,134.41,2282800,134.41
2015-05-29,120.98,133.57,113.18,130.00,2758400,130.00
2015-05-28,126.20,135.00,121.11,121.65,2886000,121.65
2015-05-27,118.88,129.75,112.70,129.75,3710100,129.75
2015-05-26,114.30,120.96,114.30,117.95,3430200,117.95
2015-05-25,111.80,116.85,107.01,115.60,3255600,115.60
2015-05-22,121.03,122.35,110.00,117.00,4596100,117.00
2015-05-21,114.41,124.88,114.41,118.51,3903400,118.51
2015-05-20,119.00,129.00,110.51,115.70,5587700,115.70
2015-05-19,120.30,121.45,115.01,117.50,4962900,117.50
2015-05-18,99.77,110.41,98.60,110.41,2862700,110.41
2015-05-15,96.11,104.44,92.20,100.37,4973400,100.37
2015-05-14,92.70,101.39,92.69,97.25,4473600,97.25
2015-05-13,92.79,94.88,90.80,92.28,3774200,92.28
2015-05-12,98.90,99.00,93.08,96.00,5992300,96.00
2015-05-11,91.50,99.20,91.50,98.56,3768200,98.56
2015-05-08,84.80,91.25,84.67,90.83,3852400,90.83
2015-05-07,84.00,86.95,82.00,83.04,2184700,83.04
2015-05-06,85.85,91.99,85.01,86.70,2536700,86.70
2015-05-05,88.33,89.88,82.50,86.00,2926300,86.00
2015-05-04,95.00,96.90,90.08,91.10,2243700,91.10
2015-05-01,95.50,95.50,95.50,95.50,000,95.50
2015-04-30,93.00,101.50,92.80,95.50,4939800,95.50
2015-04-29,89.50,97.46,89.50,97.46,2227900,97.46
2015-04-28,95.23,98.53,88.28,88.60,3356700,88.60
2015-04-27,99.80,104.51,97.98,98.00,4107400,98.00
2015-04-24,85.50,95.01,83.50,95.01,3613600,95.01
2015-04-23,85.55,93.00,84.00,86.37,3377100,86.37
2015-04-22,85.84,88.32,83.01,87.30,4428500,87.30
2015-04-21,71.00,80.29,70.89,80.29,3359600,80.29
2015-04-20,77.25,79.80,71.65,72.99,4473000,72.99
2015-04-17,79.61,79.61,78.77,79.61,4448600,79.61
2015-04-16,72.37,72.37,72.37,72.37,71000,72.37
2015-04-15,65.885,65.885,65.885,65.885,78800,32.843
2015-04-14,119.79,119.79,119.79,119.79,4600,59.713
2015-04-13,108.90,108.90,108.90,108.90,5200,54.285
