Date,Open,High,Low,Close,Volume,Adj Close
2016-04-22,22.10,22.79,22.10,22.56,10954200,22.56
2016-04-21,23.24,23.48,22.42,22.49,22006500,22.49
2016-04-20,24.90,25.90,23.00,24.16,40930900,24.16
2016-04-19,23.25,23.98,23.16,23.92,17069600,23.92
2016-04-18,23.40,23.51,22.80,22.99,10162000,22.99
2016-04-15,24.24,24.38,23.60,23.86,12829000,23.86
2016-04-14,24.06,24.46,23.75,24.23,15105300,24.23
2016-04-13,24.02,24.56,23.72,23.87,22020900,23.87
2016-04-12,23.38,23.76,22.82,23.76,15545400,23.76
2016-04-11,22.69,23.79,22.69,23.40,16146400,23.40
2016-04-08,22.23,22.60,21.80,22.36,9592000,22.36
2016-04-07,23.56,23.95,22.63,22.68,14222500,22.68
2016-04-06,23.03,24.18,22.91,23.51,18843300,23.51
2016-04-05,22.40,23.20,22.20,23.18,12745600,23.18
2016-04-04,22.29,22.29,22.29,22.29,000,22.29
2016-04-01,22.40,22.73,21.78,22.29,10245000,22.29
2016-03-31,22.65,23.15,22.43,22.52,12217000,22.52
2016-03-30,21.61,22.59,21.60,22.57,11807800,22.57
2016-03-29,21.95,22.09,21.12,21.30,9829500,21.30
2016-03-28,23.00,23.49,22.03,22.12,13228200,22.12
2016-03-25,22.66,23.15,22.47,22.87,11083800,22.87
2016-03-24,23.30,23.84,22.83,22.99,21304300,22.99
2016-03-23,22.99,23.60,22.74,23.33,16201400,23.33
2016-03-22,23.20,23.29,22.75,22.80,12872600,22.80
2016-03-21,23.20,23.38,22.60,23.37,22057300,23.37
2016-03-18,21.74,23.15,21.67,22.73,22649600,22.73
2016-03-17,20.38,21.83,20.36,21.67,19722500,21.67
2016-03-16,20.99,21.20,19.77,20.37,11693800,20.37
2016-03-15,20.90,21.08,20.31,20.41,10061200,20.41
2016-03-14,20.37,21.50,20.31,21.03,14578300,21.03
2016-03-11,19.50,20.16,19.22,19.81,6544300,19.81
2016-03-10,20.27,20.58,19.76,19.87,8148000,19.87
2016-03-09,20.04,21.22,19.71,20.10,11449700,20.10
2016-03-08,19.63,20.65,18.50,20.60,12645300,20.60
2016-03-07,19.89,20.86,19.81,19.99,10369300,19.99
