Date,Open,High,Low,Close,Volume,Adj Close
2016-04-22,41.90,43.40,41.62,43.19,4310600,43.19
2016-04-21,42.26,44.90,41.88,42.40,5935400,42.40
2016-04-20,46.18,46.18,41.00,42.29,7091500,42.29
2016-04-19,45.80,46.35,44.88,45.25,4550300,45.25
2016-04-18,48.00,48.00,45.10,45.20,8503300,45.20
2016-04-15,49.44,51.45,49.20,49.58,8099500,49.58
2016-04-14,49.20,49.65,48.20,49.09,6634700,49.09
2016-04-13,48.98,50.62,47.81,48.30,10491300,48.30
2016-04-12,51.48,51.48,47.58,48.38,9219900,48.38
2016-04-11,46.30,49.91,46.30,49.91,6494400,49.91
2016-04-08,45.99,46.00,43.96,45.37,9067400,45.37
2016-04-07,49.00,49.50,46.14,46.18,14539600,46.18
2016-04-06,43.26,46.50,42.71,46.50,5878800,46.50
2016-04-05,39.30,42.86,39.20,42.27,6457200,42.27
2016-04-04,39.72,39.72,39.72,39.72,000,39.72
2016-04-01,40.15,40.49,39.00,39.72,4169200,39.72
2016-03-31,40.50,41.66,40.18,40.63,6283000,40.63
2016-03-30,38.10,40.48,37.95,40.33,6042200,40.33
2016-03-29,38.80,39.30,36.80,37.94,4102900,37.94
2016-03-28,40.80,41.97,38.80,38.98,6020200,38.98
2016-03-25,38.95,39.69,38.70,39.57,4200900,39.57
2016-03-24,39.50,40.33,39.10,39.25,6319800,39.25
2016-03-23,38.68,40.45,38.28,40.30,6529800,40.30
2016-03-22,38.00,39.15,37.80,38.58,4933000,38.58
2016-03-21,38.36,39.28,38.05,38.96,6846600,38.96
2016-03-18,36.10,38.50,36.00,37.99,7199500,37.99
2016-03-17,34.00,36.50,33.70,36.06,6059100,36.06
2016-03-16,35.12,35.46,33.58,33.77,2754900,33.77
2016-03-15,34.51,35.20,34.23,34.49,2977000,34.49
2016-03-14,33.35,35.85,33.35,34.91,5154500,34.91
2016-03-11,32.11,32.96,31.61,32.80,2445300,32.80
2016-03-10,32.70,33.10,32.08,32.30,2198900,32.30
2016-03-09,32.58,33.48,32.08,32.52,2287700,32.52
2016-03-08,32.80,33.60,30.90,33.50,3719600,33.50
2016-03-07,32.50,34.25,32.50,33.20,3096300,33.20
2016-03-04,34.80,34.80,31.75,32.11,4062600,32.11
2016-03-03,34.47,35.98,34.47,34.55,3909500,34.55
2016-03-02,32.79,34.85,32.55,34.65,4035200,34.65
2016-03-01,31.70,33.60,31.20,33.10,3867200,33.10
2016-02-29,34.65,34.66,31.45,31.68,3792700,31.68
2016-02-26,36.00,36.30,33.80,34.94,3644700,34.94
2016-02-25,38.59,38.59,34.92,34.92,5391000,34.92
2016-02-24,38.75,39.33,37.60,38.80,4270500,38.80
2016-02-23,40.73,40.75,38.43,39.20,5516700,39.20
2016-02-22,40.60,41.22,40.13,40.75,5846300,40.75
2016-02-19,39.18,41.15,38.60,40.22,6339300,40.22
2016-02-18,40.10,40.36,39.30,39.54,5366800,39.54
2016-02-17,39.10,40.37,38.45,40.00,5834600,40.00
2016-02-16,37.25,40.00,37.09,39.60,4435800,39.60
2016-02-15,36.00,37.50,35.52,36.91,2398600,36.91
2016-02-12,37.50,37.50,37.50,37.50,000,37.50
2016-02-11,37.50,37.50,37.50,37.50,000,37.50
2016-02-10,37.50,37.50,37.50,37.50,000,37.50
2016-02-09,37.50,37.50,37.50,37.50,000,37.50
2016-02-08,37.50,37.50,37.50,37.50,000,37.50
2016-02-05,38.70,38.70,37.38,37.50,2830400,37.50
2016-02-04,37.90,38.82,37.63,38.46,4757900,38.46
2016-02-03,37.00,38.10,36.70,37.93,4542900,37.93
2016-02-02,34.70,37.91,34.55,37.91,5897100,37.91
2016-02-01,34.40,35.02,33.70,34.46,3231800,34.46
2016-01-29,32.58,35.50,32.00,34.81,4188800,34.81
2016-01-28,34.30,34.70,31.93,32.31,3332700,32.31
2016-01-27,35.08,35.55,32.11,35.20,4310500,35.20
2016-01-26,38.00,38.42,35.08,35.08,4022600,35.08
2016-01-25,39.61,40.15,38.38,38.98,3544500,38.98
2016-01-22,38.50,39.50,37.01,39.10,4557800,39.10
2016-01-21,38.01,40.70,37.78,38.04,6258200,38.04
2016-01-20,40.50,40.50,38.99,38.99,5603900,38.99
2016-01-19,39.46,41.35,38.03,40.92,7813000,40.92
