序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
41,002045,国光电器,股吧 资金流 研报,12.33,0.29,2.41%,7.89%,147014,17364,12.04,11.70,12.33,11.38,1.07%,
42,002134,天津普林,股吧 资金流 研报,14.95,0.35,2.40%,5.21%,76849,11267,14.60,14.57,14.99,14.23,0.61%,
43,300296,利亚德,股吧 资金流 研报,23.96,0.54,2.31%,3.59%,43832,10398,23.42,23.41,23.98,23.14,0.38%,
44,002371,七星电子,股吧 资金流 研报,22.63,0.51,2.31%,5.02%,49318,11029,22.12,21.66,22.68,21.57,0.13%,
45,600707,彩虹股份,股吧 资金流 研报,8.06,0.18,2.28%,4.19%,240960,19109,7.88,7.81,8.08,7.75,0.00%,
46,002218,拓日新能,股吧 资金流 研报,8.58,0.19,2.26%,2.74%,75954,6436,8.39,8.40,8.60,8.37,0.70%,
47,300219,鸿利光电,股吧 资金流 研报,11.45,0.25,2.23%,3.39%,98447,11165,11.20,11.18,11.51,11.13,0.17%,
48,600237,铜峰电子,股吧 资金流 研报,7.31,0.15,2.09%,4.47%,226765,16281,7.16,7.10,7.32,7.00,0.27%,
49,600183,生益科技,股吧 资金流 研报,8.38,0.17,2.07%,4.14%,103143,8569,8.21,8.18,8.49,8.15,0.24%,
50,002222,福晶科技,股吧 资金流 研报,18.69,0.36,1.96%,3.27%,65484,12127,18.33,18.29,18.76,18.16,0.16%,
51,600460,士兰微,股吧 资金流 研报,5.77,0.11,1.94%,4.42%,136789,7748,5.66,5.63,5.82,5.57,1.76%,
52,002273,水晶光电,股吧 资金流 研报,31.31,0.56,1.82%,4.16%,141543,44049,30.75,30.50,31.49,30.21,-0.06%,
53,002137,麦达数字,股吧 资金流 研报,13.44,0.24,1.82%,3.79%,74174,9890,13.20,13.29,13.60,13.10,-0.07%,
54,002106,莱宝高科,股吧 资金流 研报,8.52,0.15,1.79%,2.87%,110974,9340,8.37,8.31,8.52,8.28,0.00%,
55,600703,三安光电,股吧 资金流 研报,19.43,0.33,1.73%,3.82%,122541,23708,19.10,18.90,19.49,18.76,0.05%,
56,002188,巴士在线,股吧 资金流 研报,33.15,0.55,1.69%,3.99%,44784,14877,32.60,33.00,34.00,32.70,0.15%,
57,300131,英唐智控,股吧 资金流 研报,10.09,0.16,1.61%,3.63%,208144,20776,9.93,9.81,10.09,9.73,0.40%,
58,002449,国星光电,股吧 资金流 研报,12.01,0.19,1.61%,4.40%,67466,8005,11.82,11.71,12.03,11.51,0.17%,
59,000050,深天马A,股吧 资金流 研报,17.10,0.27,1.60%,4.10%,172860,29380,16.83,16.70,17.25,16.56,0.18%,
60,300102,乾照光电,股吧 资金流 研报,7.06,0.11,1.58%,2.88%,59613,4163,6.95,6.86,7.06,6.86,0.43%,
