序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
101,600885,宏发股份,股吧 资金流 研报,24.68,0.07,0.28%,3.01%,22726,5586,24.61,24.11,24.79,24.05,0.08%,
102,000413,东旭光电,股吧 资金流 研报,7.51,0.02,0.27%,2.14%,230607,17184,7.49,7.42,7.51,7.35,0.13%,
103,300241,瑞丰光电,股吧 资金流 研报,15.54,0.04,0.26%,4.90%,32545,5019,15.50,15.36,15.82,15.06,-0.06%,
104,002654,万润科技,股吧 资金流 研报,13.88,0.01,0.07%,3.89%,122353,16948,13.87,13.90,14.14,13.60,0.22%,
105,300088,长信科技,股吧 资金流 研报,11.78,-0.02,-0.17%,3.31%,367786,43011,11.80,11.60,11.87,11.48,0.00%,
106,300303,聚飞光电,股吧 资金流 研报,7.82,-0.02,-0.26%,3.44%,68670,5319,7.84,7.76,7.87,7.60,0.13%,
107,600777,新潮实业,股吧 资金流 研报,15.14,-0.04,-0.26%,2.17%,82955,12510,15.18,14.99,15.23,14.90,0.07%,
108,600990,四创电子,股吧 资金流 研报,76.81,-0.22,-0.29%,5.00%,21251,16374,77.03,76.11,79.35,75.50,0.01%,
109,601231,环旭电子,股吧 资金流 研报,9.43,-0.05,-0.53%,2.22%,49730,4683,9.48,9.35,9.55,9.34,-0.32%,
110,603678,XD火炬电,股吧 资金流 研报,54.32,-0.32,-0.59%,3.95%,11311,6136,54.64,54.68,55.35,53.19,0.37%,
111,600083,博信股份,股吧 资金流 研报,25.35,-0.16,-0.63%,8.55%,43572,11051,25.51,25.46,26.46,24.28,1.00%,
112,002618,丹邦科技,股吧 资金流 研报,38.56,-0.28,-0.72%,8.29%,46097,17346,38.84,37.80,39.22,36.00,0.03%,
113,002684,猛狮科技,股吧 资金流 研报,24.27,-0.19,-0.78%,3.52%,41223,9938,24.46,24.20,24.55,23.69,0.29%,
114,600478,科力远,股吧 资金流 研报,16.44,-0.13,-0.78%,2.78%,85973,13980,16.57,16.40,16.46,16.00,0.31%,
115,000823,超声电子,股吧 资金流 研报,8.61,-0.07,-0.81%,2.53%,116729,10011,8.68,8.67,8.68,8.46,0.58%,
116,002129,中环股份,股吧 资金流 研报,8.29,-0.07,-0.84%,3.11%,442073,36250,8.36,8.12,8.29,8.03,0.48%,
117,002008,大族激光,股吧 资金流 研报,23.13,-0.36,-1.53%,3.24%,192125,44166,23.49,23.44,23.44,22.68,0.26%,
118,600330,天通股份,股吧 资金流 研报,11.79,-0.21,-1.75%,3.50%,240752,28225,12.00,11.70,11.92,11.50,0.00%,
119,002655,共达电声,股吧 资金流 研报,16.36,-0.34,-2.04%,3.83%,111104,18199,16.70,16.65,16.74,16.10,0.99%,
120,002289,宇顺电子,股吧 资金流 研报,26.66,-0.57,-2.09%,4.04%,80968,21547,27.23,26.70,27.20,26.10,0.04%,
