序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
21,002484,江海股份,股吧 资金流 研报,19.25,0.60,3.22%,4.29%,33094,6241,18.65,18.46,19.25,18.45,0.57%,
22,600405,动力源,股吧 资金流 研报,14.42,0.44,3.15%,5.36%,245046,34806,13.98,13.82,14.50,13.75,0.07%,
23,002724,海洋王,股吧 资金流 研报,19.43,0.58,3.08%,4.24%,20430,3929,18.85,18.85,19.50,18.70,0.05%,
24,603936,博敏电子,股吧 资金流 研报,35.96,1.07,3.07%,4.70%,43115,15179,34.89,34.50,35.99,34.35,0.22%,
25,002635,安洁科技,股吧 资金流 研报,31.58,0.93,3.03%,6.13%,127164,39945,30.65,30.40,32.19,30.31,0.06%,
26,002733,雄韬股份,股吧 资金流 研报,23.10,0.66,2.94%,5.12%,43069,9799,22.44,22.10,23.20,22.05,0.22%,
27,300068,南都电源,股吧 资金流 研报,16.65,0.47,2.90%,3.71%,114025,18735,16.18,16.21,16.65,16.05,0.67%,
28,002512,达华智能,股吧 资金流 研报,19.56,0.55,2.89%,6.26%,77948,15021,19.01,19.04,19.69,18.50,-0.10%,
29,002660,茂硕电源,股吧 资金流 研报,13.37,0.37,2.85%,6.00%,80989,10646,13.00,12.86,13.43,12.65,0.38%,
30,002189,利达光电,股吧 资金流 研报,28.70,0.79,2.83%,6.06%,72131,20358,27.91,27.60,28.99,27.30,0.10%,
31,300205,天喻信息,股吧 资金流 研报,13.83,0.38,2.83%,4.09%,92426,12650,13.45,13.40,13.90,13.35,0.14%,
32,000049,德赛电池,股吧 资金流 研报,38.96,1.05,2.77%,4.88%,70118,26839,37.91,37.59,39.00,37.15,0.21%,
33,600563,法拉电子,股吧 资金流 研报,34.69,0.91,2.69%,4.56%,30434,10411,33.78,33.50,34.90,33.36,0.09%,
34,300029,天龙光电,股吧 资金流 研报,12.21,0.32,2.69%,5.30%,54585,6552,11.89,11.79,12.31,11.68,-0.41%,
35,002402,和而泰,股吧 资金流 研报,19.15,0.49,2.63%,2.73%,32712,6231,18.66,18.74,19.25,18.74,0.10%,
36,300232,洲明科技,股吧 资金流 研报,33.40,0.85,2.61%,4.21%,23099,7636,32.55,32.56,33.49,32.12,-0.06%,
37,300077,国民技术,股吧 资金流 研报,17.30,0.44,2.61%,4.69%,249343,42836,16.86,16.78,17.41,16.62,0.35%,
38,300438,鹏辉能源,股吧 资金流 研报,99.38,2.51,2.59%,6.86%,15569,15244,96.87,93.20,99.85,93.20,0.29%,
39,300319,麦捷科技,股吧 资金流 研报,22.44,0.56,2.56%,4.07%,30409,6726,21.88,21.70,22.49,21.60,-0.09%,
40,300389,艾比森,股吧 资金流 研报,40.17,0.97,2.47%,4.64%,10206,4039,39.20,39.30,40.48,38.66,0.30%,
