序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
121,300416,苏试试验,股吧 资金流 研报,57.14,-1.50,-2.56%,6.91%,15499,8806,58.64,58.50,59.00,54.95,-0.02%,
122,002745,木林森,股吧 资金流 研报,34.61,-1.08,-3.03%,3.47%,20820,7255,35.69,35.05,35.54,34.30,0.12%,
123,002056,横店东磁,股吧 资金流 研报,26.73,-1.01,-3.64%,4.43%,142573,38017,27.74,26.71,27.24,26.01,0.19%,
124,300460,惠伦晶体,股吧 资金流 研报,25.75,-1.01,-3.77%,3.03%,27306,7015,26.76,26.00,26.10,25.29,-0.23%,
125,000970,中科三环,股吧 资金流 研报,12.96,-0.66,-4.85%,3.38%,831264,107760,13.62,12.95,13.20,12.74,0.47%,
126,300127,银河磁体,股吧 资金流 研报,16.70,-0.90,-5.11%,5.23%,159746,26722,17.60,17.10,17.20,16.28,0.91%,
127,002055,得润电子,股吧 资金流 研报,31.20,-2.16,-6.47%,9.11%,360657,113699,33.36,32.58,33.33,30.29,-0.16%,
128,000020,深华发A,股吧 资金流 研报,23.93,-1.74,-6.78%,6.35%,96914,23540,25.67,24.83,25.21,23.58,0.34%,
129,300506,名家汇,股吧 资金流 研报,46.99,-3.59,-7.10%,7.41%,104161,49812,50.58,48.12,49.99,46.24,0.17%,
130,300046,台基股份,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,17.84,0.00,0.00,0.00,0.00%,
131,600363,联创光电,股吧 资金流 研报,16.44,0.00,0.00%,0.00%,0,0,16.44,0.00,0.00,0.00,0.00%,
132,600584,长电科技,股吧 资金流 研报,22.02,0.00,0.00%,0.00%,0,0,22.02,0.00,0.00,0.00,0.00%,
133,300301,长方集团,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,9.11,0.00,0.00,0.00,0.00%,
134,002199,东晶电子,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,17.93,0.00,0.00,0.00,0.00%,
135,002587,奥拓电子,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,14.48,0.00,0.00,0.00,0.00%,
136,300323,华灿光电,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,8.99,0.00,0.00,0.00,0.00%,
137,300457,赢合科技,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,70.88,0.00,0.00,0.00,0.00%,
138,300220,金运激光,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,41.10,0.00,0.00,0.00,0.00%,
139,002288,超华科技,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,8.87,0.00,0.00,0.00,0.00%,
140,000636,风华高科,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,8.87,0.00,0.00,0.00,0.00%,
