序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
1,600360,华微电子,股吧 资金流 研报,8.89,0.81,10.02%,12.00%,265267,22015,8.08,7.97,8.89,7.92,0.00%,
2,002636,金安国纪,股吧 资金流 研报,15.93,1.45,10.01%,9.19%,267674,41374,14.48,14.90,15.93,14.60,0.00%,
3,002729,好利来,股吧 资金流 研报,78.59,7.13,9.98%,11.49%,30068,23132,71.46,71.30,78.61,70.40,-0.03%,
4,002782,可立克,股吧 资金流 研报,41.83,3.41,8.88%,7.34%,128384,53040,38.42,40.44,42.26,39.44,0.07%,
5,300327,中颖电子,股吧 资金流 研报,38.00,2.45,6.89%,10.63%,74795,28111,35.55,35.26,38.95,35.17,-0.13%,
6,002241,歌尔声学,股吧 资金流 研报,28.78,1.80,6.67%,9.04%,320715,91322,26.98,26.92,29.15,26.71,0.00%,
7,002638,勤上光电,股吧 资金流 研报,23.00,1.32,6.09%,14.71%,300646,68643,21.68,23.85,23.85,20.66,3.60%,
8,002138,顺络电子,股吧 资金流 研报,13.99,0.73,5.51%,5.05%,201316,27943,13.26,13.62,14.19,13.52,0.00%,
9,000536,华映科技,股吧 资金流 研报,13.69,0.68,5.23%,9.38%,159115,21613,13.01,12.84,13.96,12.74,0.15%,
10,300014,亿纬锂能,股吧 资金流 研报,26.14,1.14,4.56%,7.04%,197152,50353,25.00,24.62,26.37,24.61,0.50%,
11,002475,立讯精密,股吧 资金流 研报,27.90,1.15,4.30%,4.15%,78540,21579,26.75,26.89,28.00,26.89,0.04%,
12,603996,中新科技,股吧 资金流 研报,33.80,1.36,4.19%,5.95%,46837,15452,32.44,32.18,33.97,32.04,-0.24%,
13,600602,仪电电子,股吧 资金流 研报,10.68,0.42,4.09%,4.39%,160162,16980,10.26,10.45,10.81,10.36,0.38%,
14,300414,中光防雷,股吧 资金流 研报,32.14,1.23,3.98%,4.01%,20672,6563,30.91,30.92,32.16,30.92,0.28%,
15,300476,胜宏科技,股吧 资金流 研报,52.90,2.02,3.97%,5.50%,23734,12327,50.88,50.10,52.90,50.10,0.57%,
16,300227,光韵达,股吧 资金流 研报,25.35,0.95,3.89%,8.89%,142779,35289,24.40,24.20,25.78,23.61,-0.16%,
17,300162,雷曼股份,股吧 资金流 研报,24.69,0.90,3.78%,7.06%,136877,32868,23.79,23.20,24.80,23.12,0.86%,
18,300139,晓程科技,股吧 资金流 研报,14.25,0.49,3.56%,5.16%,70345,9864,13.76,13.64,14.35,13.64,0.07%,
19,600355,精伦电子,股吧 资金流 研报,8.76,0.30,3.55%,5.44%,241753,20672,8.46,8.40,8.78,8.32,0.34%,
20,300114,中航电测,股吧 资金流 研报,34.65,1.09,3.25%,5.78%,24202,8341,33.56,33.39,34.94,33.00,0.58%,
