序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
61,300010,立思辰,股吧 资金流 研报,20.01,0.25,1.27%,3.95%,119158,23740,19.76,19.55,20.13,19.35,0.30%,
62,002063,远光软件,股吧 资金流 研报,13.65,0.17,1.26%,2.74%,136607,18457,13.48,13.44,13.66,13.29,0.66%,
63,600756,浪潮软件,股吧 资金流 研报,30.09,0.36,1.21%,3.36%,121075,36134,29.73,29.30,30.20,29.20,0.27%,
64,300469,信息发展,股吧 资金流 研报,103.52,1.19,1.16%,5.35%,14535,14808,102.33,98.50,103.97,98.50,0.31%,
65,300297,蓝盾股份,股吧 资金流 研报,15.90,0.18,1.15%,2.61%,109761,17313,15.72,15.52,15.93,15.52,0.51%,
66,600718,东软集团,股吧 资金流 研报,18.34,0.20,1.10%,2.65%,291745,53061,18.14,18.11,18.38,17.90,0.16%,
67,002401,中海科技,股吧 资金流 研报,16.41,0.17,1.05%,2.59%,54336,8835,16.24,16.11,16.44,16.02,0.24%,
68,002178,延华智能,股吧 资金流 研报,10.04,0.09,0.90%,2.31%,70058,6994,9.95,9.97,10.08,9.85,0.10%,
69,600588,用友网络,股吧 资金流 研报,19.45,0.17,0.88%,2.80%,108401,20885,19.28,19.27,19.49,18.95,0.26%,
70,300188,美亚柏科,股吧 资金流 研报,27.60,0.24,0.88%,3.80%,136056,37282,27.36,26.90,27.80,26.76,0.58%,
71,300271,华宇软件,股吧 资金流 研报,18.61,0.16,0.87%,3.14%,79609,14753,18.45,18.15,18.72,18.14,0.11%,
72,601519,大智慧,股吧 资金流 研报,9.44,0.06,0.64%,3.09%,173222,16340,9.38,9.30,9.54,9.25,0.64%,
73,002232,启明信息,股吧 资金流 研报,14.57,0.09,0.62%,4.14%,91982,13320,14.48,14.29,14.80,14.20,-0.07%,
74,300212,易华录,股吧 资金流 研报,28.25,0.15,0.53%,3.74%,70525,19841,28.10,27.78,28.65,27.60,0.14%,
75,002410,广联达,股吧 资金流 研报,12.82,0.06,0.47%,2.04%,64878,8298,12.76,12.83,12.88,12.62,0.23%,
76,600410,华胜天成,股吧 资金流 研报,15.50,0.05,0.32%,3.04%,137771,21151,15.45,15.20,15.52,15.05,0.00%,
77,300229,拓尔思,股吧 资金流 研报,22.56,0.07,0.31%,3.07%,109542,24623,22.49,22.10,22.79,22.10,0.04%,
78,300182,捷成股份,股吧 资金流 研报,16.99,-0.01,-0.06%,2.76%,64420,10882,17.00,16.87,17.17,16.70,0.30%,
79,002649,博彦科技,股吧 资金流 研报,37.55,-0.18,-0.48%,2.99%,44587,16666,37.73,37.20,37.98,36.85,0.13%,
80,000711,京蓝科技,股吧 资金流 研报,18.75,-0.13,-0.69%,2.97%,40082,7465,18.88,18.55,18.88,18.32,-0.48%,
