序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
61,002156,通富微电,股吧 资金流 研报,12.93,0.20,1.57%,2.83%,71288,9106,12.73,12.61,12.96,12.60,-0.08%,
62,300128,锦富新材,股吧 资金流 研报,13.91,0.21,1.53%,4.01%,71629,9876,13.70,13.50,14.05,13.50,0.36%,
63,000068,华控赛格,股吧 资金流 研报,9.38,0.14,1.52%,2.92%,65004,6046,9.24,9.22,9.39,9.12,0.00%,
64,002119,康强电子,股吧 资金流 研报,22.48,0.33,1.49%,3.79%,51061,11340,22.15,21.94,22.52,21.68,0.45%,
65,300461,田中精机,股吧 资金流 研报,48.98,0.68,1.41%,4.04%,11184,5367,48.30,47.50,48.98,47.03,0.82%,
66,600151,航天机电,股吧 资金流 研报,10.88,0.15,1.40%,3.36%,116470,12572,10.73,10.71,10.98,10.62,0.09%,
67,300373,扬杰科技,股吧 资金流 研报,15.35,0.20,1.32%,3.56%,30547,4635,15.15,14.90,15.35,14.81,0.39%,
68,603328,依顿电子,股吧 资金流 研报,23.15,0.29,1.27%,2.62%,18447,4245,22.86,22.75,23.20,22.60,-0.04%,
69,603989,艾华集团,股吧 资金流 研报,28.01,0.35,1.27%,2.86%,27509,7613,27.66,27.33,28.04,27.25,0.25%,
70,002436,兴森科技,股吧 资金流 研报,16.42,0.20,1.23%,3.58%,47118,7636,16.22,15.99,16.48,15.90,0.18%,
71,600171,上海贝岭,股吧 资金流 研报,15.52,0.18,1.17%,3.59%,138437,21142,15.34,15.35,15.55,15.00,0.52%,
72,300269,联建光电,股吧 资金流 研报,21.55,0.24,1.13%,2.77%,46870,10051,21.31,21.30,21.79,21.20,0.33%,
73,002121,科陆电子,股吧 资金流 研报,25.73,0.28,1.10%,3.18%,73211,18660,25.45,25.13,25.82,25.01,0.16%,
74,002456,欧菲光,股吧 资金流 研报,26.20,0.28,1.08%,3.67%,204300,52738,25.92,25.62,26.25,25.30,0.19%,
75,300458,全志科技,股吧 资金流 研报,73.00,0.75,1.04%,3.28%,20460,14810,72.25,71.44,73.38,71.01,0.14%,
76,600667,太极实业,股吧 资金流 研报,6.67,0.06,0.91%,3.63%,198116,13013,6.61,6.58,6.68,6.44,0.30%,
77,002185,华天科技,股吧 资金流 研报,13.35,0.12,0.91%,2.49%,84814,11259,13.23,13.21,13.43,13.10,0.23%,
78,300115,长盈精密,股吧 资金流 研报,30.10,0.27,0.91%,2.92%,45996,13823,29.83,29.58,30.37,29.50,0.03%,
79,600651,飞乐音响,股吧 资金流 研报,12.67,0.11,0.88%,2.39%,122979,15458,12.56,12.50,12.68,12.38,0.08%,
80,002079,苏州固锝,股吧 资金流 研报,8.14,0.07,0.87%,2.35%,98056,7940,8.07,8.02,8.16,7.97,-0.12%,
