序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
81,300317,珈伟股份,股吧 资金流 研报,22.45,0.19,0.85%,3.95%,14058,3134,22.26,22.10,22.58,21.70,-0.04%,
82,000058,深赛格,股吧 资金流 研报,12.16,0.10,0.83%,3.23%,106000,12746,12.06,11.97,12.17,11.78,0.33%,
83,002579,中京电子,股吧 资金流 研报,12.24,0.10,0.82%,4.28%,103372,12459,12.14,12.00,12.30,11.78,0.33%,
84,002049,同方国芯,股吧 资金流 研报,38.77,0.30,0.78%,2.91%,94594,36241,38.47,38.30,38.93,37.81,0.13%,
85,300408,三环集团,股吧 资金流 研报,16.22,0.12,0.75%,3.04%,33236,5394,16.10,16.16,16.50,16.01,0.25%,
86,002308,威创股份,股吧 资金流 研报,15.25,0.11,0.73%,3.57%,109436,16549,15.14,15.04,15.35,14.81,0.26%,
87,002506,协鑫集成,股吧 资金流 研报,7.33,0.05,0.69%,3.57%,464485,33954,7.28,7.22,7.44,7.18,0.27%,
88,002463,沪电股份,股吧 资金流 研报,4.52,0.03,0.67%,2.23%,131004,5877,4.49,4.47,4.53,4.43,0.44%,
89,600353,旭光股份,股吧 资金流 研报,7.62,0.05,0.66%,2.77%,52365,3946,7.57,7.50,7.63,7.42,0.00%,
90,000541,佛山照明,股吧 资金流 研报,9.15,0.06,0.66%,2.53%,119353,10831,9.09,9.02,9.20,8.97,0.22%,
91,000062,深圳华强,股吧 资金流 研报,24.59,0.16,0.65%,2.50%,40698,9961,24.43,24.08,24.68,24.07,0.08%,
92,002179,中航光电,股吧 资金流 研报,35.84,0.21,0.59%,2.64%,52084,18639,35.63,35.60,36.25,35.31,0.17%,
93,600747,大连控股,股吧 资金流 研报,5.15,0.03,0.59%,2.93%,160543,8216,5.12,5.03,5.18,5.03,0.19%,
94,000682,东方电子,股吧 资金流 研报,5.34,0.03,0.56%,1.69%,92783,4926,5.31,5.30,5.35,5.26,0.19%,
95,300032,金龙机电,股吧 资金流 研报,17.78,0.09,0.51%,2.49%,109019,19252,17.69,17.51,17.85,17.41,0.28%,
96,000725,京东方A,股吧 资金流 研报,2.42,0.01,0.41%,1.66%,1835214,44003,2.41,2.40,2.42,2.38,0.41%,
97,600261,阳光照明,股吧 资金流 研报,7.30,0.03,0.41%,1.38%,64602,4693,7.27,7.25,7.31,7.21,0.00%,
98,300223,北京君正,股吧 资金流 研报,30.80,0.10,0.33%,4.85%,41246,12652,30.70,30.54,31.50,30.01,0.49%,
99,002025,航天电器,股吧 资金流 研报,23.03,0.07,0.30%,3.31%,60513,13873,22.96,22.93,23.26,22.50,0.44%,
100,000727,华东科技,股吧 资金流 研报,6.58,0.02,0.30%,2.59%,283052,18425,6.56,6.51,6.59,6.42,0.00%,
