序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
41,600289,亿阳信通,股吧 资金流 研报,13.42,0.24,1.82%,3.19%,105663,13958,13.18,13.17,13.43,13.01,0.52%,
42,300369,绿盟科技,股吧 资金流 研报,38.35,0.68,1.81%,5.23%,38825,14700,37.67,37.28,38.50,36.53,0.95%,
43,300231,银信科技,股吧 资金流 研报,18.14,0.32,1.80%,4.04%,125801,22711,17.82,17.75,18.30,17.58,0.28%,
44,300352,北信源,股吧 资金流 研报,35.45,0.62,1.78%,3.73%,57023,20032,34.83,34.40,35.48,34.18,0.37%,
45,300017,网宿科技,股吧 资金流 研报,56.87,0.97,1.74%,2.42%,44086,24836,55.90,55.84,56.88,55.53,0.14%,
46,002268,卫士通,股吧 资金流 研报,33.76,0.56,1.69%,3.67%,109111,36465,33.20,32.66,33.82,32.60,0.21%,
47,600570,恒生电子,股吧 资金流 研报,52.28,0.84,1.63%,3.60%,269851,139784,51.44,51.01,52.55,50.70,0.10%,
48,300074,华平股份,股吧 资金流 研报,10.12,0.16,1.61%,3.71%,146758,14706,9.96,9.93,10.19,9.82,0.40%,
49,300044,赛为智能,股吧 资金流 研报,22.18,0.34,1.56%,2.93%,79492,17426,21.84,21.59,22.18,21.54,0.27%,
50,300339,润和软件,股吧 资金流 研报,31.55,0.48,1.54%,3.03%,30282,9467,31.07,30.62,31.56,30.62,0.35%,
51,300002,神州泰岳,股吧 资金流 研报,8.75,0.13,1.51%,2.44%,140474,12197,8.62,8.65,8.76,8.55,0.57%,
52,300253,卫宁健康,股吧 资金流 研报,29.40,0.43,1.48%,3.04%,80977,23656,28.97,28.64,29.51,28.63,0.14%,
53,002474,榕基软件,股吧 资金流 研报,13.23,0.19,1.46%,3.99%,163794,21396,13.04,12.80,13.25,12.73,0.23%,
54,002339,积成电子,股吧 资金流 研报,16.40,0.23,1.42%,2.78%,63232,10235,16.17,15.97,16.40,15.95,0.43%,
55,300378,鼎捷软件,股吧 资金流 研报,37.64,0.51,1.37%,4.39%,14282,5348,37.13,37.00,38.19,36.56,0.24%,
56,002362,汉王科技,股吧 资金流 研报,23.76,0.32,1.37%,3.28%,47845,11258,23.44,23.13,23.79,23.02,0.25%,
57,300245,天玑科技,股吧 资金流 研报,22.05,0.29,1.33%,3.63%,100327,21871,21.76,21.31,22.09,21.30,0.50%,
58,002558,世纪游轮,股吧 资金流 研报,115.51,1.49,1.31%,5.10%,6470,7407,114.02,110.50,116.00,110.18,0.05%,
59,000948,南天信息,股吧 资金流 研报,17.97,0.23,1.30%,3.27%,59332,10578,17.74,17.53,18.06,17.48,0.11%,
60,600845,宝信软件,股吧 资金流 研报,37.58,0.47,1.27%,3.10%,11950,4471,37.11,36.79,37.78,36.63,-0.32%,
