序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
81,300287,飞利信,股吧 资金流 研报,12.98,-0.12,-0.92%,2.67%,110809,14367,13.10,12.86,13.15,12.80,-0.08%,
82,600271,航天信息,股吧 资金流 研报,53.58,-1.20,-2.19%,4.36%,108918,57853,54.78,54.48,54.48,52.09,0.17%,
83,002421,达实智能,股吧 资金流 研报,17.65,-0.92,-4.95%,5.82%,261662,46808,18.57,17.80,18.55,17.47,-0.28%,
84,300085,银之杰,股吧 资金流 研报,41.92,-3.34,-7.38%,5.46%,170956,71901,45.26,40.73,43.20,40.73,0.72%,
85,300020,银江股份,股吧 资金流 研报,16.31,-1.81,-9.99%,2.10%,399345,65538,18.12,16.31,16.69,16.31,0.00%,
86,600571,信雅达,股吧 资金流 研报,46.23,0.00,0.00%,0.00%,0,0,46.23,0.00,0.00,0.00,0.00%,
87,603918,金桥信息,股吧 资金流 研报,68.32,0.00,0.00%,0.00%,0,0,68.32,0.00,0.00,0.00,0.00%,
88,600654,中安消,股吧 资金流 研报,24.53,0.00,0.00%,0.00%,0,0,24.53,0.00,0.00,0.00,0.00%,
89,300096,易联众,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,17.79,0.00,0.00,0.00,0.00%,
90,300166,东方国信,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,25.70,0.00,0.00,0.00,0.00%,
91,002331,皖通科技,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,19.90,0.00,0.00,0.00,0.00%,
92,300465,高伟达,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,68.36,0.00,0.00,0.00,0.00%,
93,002771,真视通,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,82.00,0.00,0.00,0.00,0.00%,
94,002230,科大讯飞,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,27.83,0.00,0.00,0.00,0.00%,
95,300290,荣科科技,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,14.60,0.00,0.00,0.00,0.00%,
96,300045,华力创通,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,17.90,0.00,0.00,0.00,0.00%,
97,002065,东华软件,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,25.10,0.00,0.00,0.00,0.00%,
98,002439,启明星辰,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,23.66,0.00,0.00,0.00,0.00%,
99,002405,四维图新,股吧 资金流 研报,0.00,0.00,0.00%,0.00%,0,0,26.49,0.00,0.00,0.00,0.00%,
