序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
1,300508,维宏股份,股吧 资金流 研报,38.49,3.50,10.00%,0.00%,15,5,34.99,38.49,38.49,38.49,0.00%,
2,300324,旋极信息,股吧 资金流 研报,22.00,1.69,8.32%,13.59%,139109,28754,20.31,20.02,22.29,19.53,-1.08%,
3,300377,赢时胜,股吧 资金流 研报,76.40,4.12,5.70%,9.13%,27548,20409,72.28,71.50,77.10,70.50,-0.39%,
4,300379,东方通,股吧 资金流 研报,66.80,3.44,5.43%,6.50%,41896,27350,63.36,62.70,66.80,62.68,0.36%,
5,300311,任子行,股吧 资金流 研报,35.66,1.68,4.94%,8.45%,122466,42972,33.98,33.60,35.97,33.10,0.34%,
6,300451,创业软件,股吧 资金流 研报,133.80,5.91,4.62%,10.53%,13185,17321,127.89,125.21,134.95,121.48,0.32%,
7,002373,千方科技,股吧 资金流 研报,31.37,1.34,4.46%,6.79%,68378,20976,30.03,29.60,31.60,29.56,0.42%,
8,300113,顺网科技,股吧 资金流 研报,86.00,3.56,4.32%,9.32%,129463,113156,82.44,83.89,90.68,83.00,0.03%,
9,600455,博通股份,股吧 资金流 研报,46.32,1.69,3.79%,6.57%,19905,9028,44.63,44.49,46.93,44.00,-0.24%,
10,300277,海联讯,股吧 资金流 研报,32.35,1.10,3.52%,4.22%,11880,3781,31.25,31.40,32.35,31.03,1.09%,
11,300209,天泽信息,股吧 资金流 研报,24.81,0.83,3.46%,4.38%,72065,17496,23.98,23.80,24.85,23.80,0.61%,
12,300033,同花顺,股吧 资金流 研报,74.09,2.39,3.33%,7.04%,129164,95764,71.70,71.00,75.55,70.50,0.12%,
13,002153,石基信息,股吧 资金流 研报,84.83,2.73,3.33%,8.51%,39488,32860,82.10,82.00,87.99,81.00,0.27%,
14,002642,荣之联,股吧 资金流 研报,42.02,1.31,3.22%,7.12%,131790,55310,40.71,40.26,42.96,40.06,0.26%,
15,300036,超图软件,股吧 资金流 研报,37.19,1.15,3.19%,5.19%,116819,42956,36.04,35.74,37.45,35.58,0.32%,
16,300468,四方精创,股吧 资金流 研报,57.76,1.76,3.14%,3.93%,13927,7958,56.00,55.79,57.99,55.79,0.00%,
17,002279,久其软件,股吧 资金流 研报,50.90,1.54,3.12%,4.66%,30513,15323,49.36,48.70,50.91,48.61,0.57%,
18,300264,佳创视讯,股吧 资金流 研报,23.98,0.70,3.01%,5.37%,112492,26450,23.28,22.97,24.22,22.97,0.21%,
19,002657,中科金财,股吧 资金流 研报,53.42,1.53,2.95%,4.84%,91569,48414,51.89,51.46,53.55,51.04,0.56%,
20,300348,长亮科技,股吧 资金流 研报,48.76,1.39,2.93%,5.43%,22378,10855,47.37,47.35,49.57,47.00,-0.25%,
