Date,Open,High,Low,Close,Volume,Adj Close
2016-04-22,29.58,30.37,29.50,30.10,4599600,30.10
2016-04-21,30.00,30.77,29.73,29.83,6133300,29.83
2016-04-20,31.89,32.15,29.10,29.80,7931600,29.80
2016-04-19,31.40,32.10,31.16,31.91,5419000,31.91
2016-04-18,31.35,31.60,30.52,31.28,5628800,31.28
2016-04-15,30.53,32.49,29.92,31.79,9824800,31.79
2016-04-14,30.48,30.50,29.80,30.50,4289800,30.50
2016-04-13,28.77,30.89,28.77,30.29,9483300,30.29
2016-04-12,29.00,29.15,28.18,28.52,3411500,28.52
2016-04-11,28.49,29.30,28.45,29.00,4314300,29.00
2016-04-08,28.79,28.80,27.80,28.30,5597300,28.30
2016-04-07,29.77,29.79,28.91,28.91,5365300,28.91
2016-04-06,29.00,29.66,29.00,29.41,6216800,29.41
2016-04-05,28.48,29.39,28.30,29.15,6843200,29.15
2016-04-04,28.49,28.49,28.49,28.49,000,28.49
2016-04-01,29.05,29.30,28.00,28.49,6710100,28.49
2016-03-31,29.60,30.15,28.80,29.15,9651000,29.15
2016-03-30,28.30,29.29,28.00,29.26,11031900,29.26
2016-03-29,29.20,29.20,27.31,27.82,9510900,27.82
2016-03-28,27.61,29.39,27.61,29.13,11654700,29.13
2016-03-25,27.24,27.61,27.06,27.41,2928500,27.41
2016-03-24,27.39,27.94,27.11,27.23,5187700,27.23
2016-03-23,27.50,27.87,27.25,27.80,3740300,27.80
2016-03-22,27.63,27.99,27.30,27.58,3980600,27.58
2016-03-21,27.86,28.29,27.48,27.86,7184100,27.86
2016-03-18,26.67,27.99,26.41,27.85,8106900,27.85
2016-03-17,25.45,26.77,25.38,26.67,6253000,26.67
2016-03-16,26.30,26.46,25.06,25.44,3680000,25.44
2016-03-15,25.50,25.99,25.28,25.53,3255600,25.53
2016-03-14,24.80,26.09,24.80,25.72,5347900,25.72
2016-03-11,24.08,24.76,23.81,24.40,2880200,24.40
2016-03-10,24.37,24.87,24.03,24.08,2675100,24.08
2016-03-09,24.51,25.15,24.18,24.42,3510300,24.42
2016-03-08,24.34,25.25,23.28,25.19,6155000,25.19
2016-03-07,23.91,24.88,23.91,24.22,3438900,24.22
2016-03-04,24.92,25.30,23.67,23.78,3875000,23.78
2016-03-03,25.32,25.88,25.00,25.01,4104900,25.01
2016-03-02,24.08,25.34,23.90,25.33,5063800,25.33
2016-03-01,23.72,24.44,22.60,24.09,4059700,24.09
2016-02-29,24.80,24.80,23.10,23.57,5023200,23.57
